month,maximum_rainfall_in_a_day,year,month_only,no_of_rainy_days,total_rainfall
1994-12-01,133.8,1994,12,18.0,425.4
1995-01-01,108.3,1995,1,21.0,349.4
1995-02-01,159.3,1995,2,16.0,334.0
1995-03-01,31.1,1995,3,10.0,67.7
1995-04-01,73.6,1995,4,16.0,242.3
1995-05-01,32.8,1995,5,11.0,84.4
1995-06-01,45.0,1995,6,12.0,63.7
1995-07-01,52.3,1995,7,13.0,173.6
1995-08-01,37.9,1995,8,21.0,211.6
1995-09-01,5.7,1995,9,7.0,29.5
1995-10-01,37.1,1995,10,12.0,101.1
1995-11-01,198.6,1995,11,20.0,372.8
1995-12-01,55.6,1995,12,20.0,302.5
1996-01-01,39.0,1996,1,10.0,173.2
1996-02-01,53.0,1996,2,11.0,180.2
1996-03-01,61.8,1996,3,8.0,129.7
1996-04-01,55.7,1996,4,15.0,178.2
1996-05-01,18.6,1996,5,15.0,107.5
1996-06-01,94.3,1996,6,15.0,265.8
1996-07-01,55.3,1996,7,10.0,162.3
1996-08-01,64.6,1996,8,18.0,258.4
1996-09-01,66.5,1996,9,18.0,297.0
1996-10-01,45.8,1996,10,19.0,300.0
1996-11-01,60.5,1996,11,16.0,180.2
1996-12-01,72.4,1996,12,15.0,185.5
1997-01-01,13.9,1997,1,3.0,15.4
1997-02-01,35.7,1997,2,8.0,105.4
1997-03-01,17.4,1997,3,10.0,34.3
1997-04-01,44.6,1997,4,12.0,118.4
1997-05-01,35.6,1997,5,6.0,41.6
1997-06-01,25.0,1997,6,12.0,78.9
1997-07-01,5.4,1997,7,9.0,18.6
1997-08-01,61.4,1997,8,9.0,86.6
1997-09-01,24.3,1997,9,3.0,31.1
1997-10-01,36.5,1997,10,8.0,78.4
1997-11-01,53.6,1997,11,13.0,158.3
1997-12-01,65.8,1997,12,23.0,351.9
1998-01-01,79.7,1998,1,13.0,268.8
1998-02-01,11.9,1998,2,5.0,32.5
1998-03-01,20.9,1998,3,7.0,58.8
1998-04-01,64.9,1998,4,13.0,187.7
1998-05-01,83.7,1998,5,18.0,370.8
1998-06-01,42.8,1998,6,15.0,198.8
1998-07-01,55.8,1998,7,18.0,259.2
1998-08-01,35.5,1998,8,18.0,195.0
1998-09-01,52.0,1998,9,17.0,258.2
1998-10-01,32.4,1998,10,20.0,222.7
1998-11-01,57.5,1998,11,11.0,107.2
1998-12-01,84.4,1998,12,22.0,463.4
1999-01-01,52.5,1999,1,19.0,193.9
1999-02-01,32.1,1999,2,9.0,67.4
